sample_accession	accession	run_accession	sequencing_method	library_layout	library_strategy	fastq_bytes	fastq_ftp	fastq_md5
SAMEA4946467	SAMEA4946467	ERR2815302	16S	PAIRED	WGS	19966029;24392458	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/002/ERR2815302/ERR2815302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/002/ERR2815302/ERR2815302_2.fastq.gz	5a0ddcd4cf573f67bd40b5f64e3cc5df;0bc7c1dc2893ac66aa9b17ec65ff6b14
SAMEA4946468	SAMEA4946468	ERR2815303	16S	PAIRED	WGS	18367694;22049263	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/003/ERR2815303/ERR2815303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/003/ERR2815303/ERR2815303_2.fastq.gz	9f02236f377ea53bcce9be37b7d2c142;668a72a93cd43efde75279d49aadd544
SAMEA4946469	SAMEA4946469	ERR2815304	16S	PAIRED	WGS	20708611;25111604	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/004/ERR2815304/ERR2815304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/004/ERR2815304/ERR2815304_2.fastq.gz	6f68343130bb48d75cc1354d38087e96;2cc8e40de3a20a89eb889a8588d9fe6f
SAMEA4946470	SAMEA4946470	ERR2815305	16S	PAIRED	WGS	23136747;27356432	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/005/ERR2815305/ERR2815305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/005/ERR2815305/ERR2815305_2.fastq.gz	ecc8f6b95493a28b62457186512b7bf9;d0839cd748c719a96d20530fa5ea128a
SAMEA4946472	SAMEA4946472	ERR2815306	16S	PAIRED	WGS	23430761;30139036	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/006/ERR2815306/ERR2815306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/006/ERR2815306/ERR2815306_2.fastq.gz	e9f1a2d99484c5c5ec6c5253a63f9cb2;ce646fd99898cf2c68910b3c391febce
SAMEA4946473	SAMEA4946473	ERR2815307	16S	PAIRED	WGS	28633536;35944049	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/007/ERR2815307/ERR2815307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/007/ERR2815307/ERR2815307_2.fastq.gz	cf3c247efda7f9c366323dfd91fd9191;2b69cb0a05c91369336a48ad9c2bf66b
SAMEA4946474	SAMEA4946474	ERR2815308	16S	PAIRED	WGS	29357677;36906285	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/008/ERR2815308/ERR2815308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/008/ERR2815308/ERR2815308_2.fastq.gz	839511f672feca23ea97037fc54478bf;2ff63acb71204216cb5b3423b75b4bce
SAMEA4946475	SAMEA4946475	ERR2815309	16S	PAIRED	WGS	15517736;20007062	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/009/ERR2815309/ERR2815309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/009/ERR2815309/ERR2815309_2.fastq.gz	7aa0ab808a4e3e6dd7ed696fee43272e;8cd87c56de7c4e7b62d5e84bb4630c8c
SAMEA4946476	SAMEA4946476	ERR2815310	16S	PAIRED	WGS	32090081;40762528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/000/ERR2815310/ERR2815310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/000/ERR2815310/ERR2815310_2.fastq.gz	e6c3617eb55f9b05438f72c7c7e28e0a;8d7eb312530d4ad1325a5972e6e54cf6
SAMEA4946477	SAMEA4946477	ERR2815328	16S	PAIRED	WGS	21132053;27070140	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/008/ERR2815328/ERR2815328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/008/ERR2815328/ERR2815328_2.fastq.gz	8f02048c83d4cf217d3affbf53eb713e;ed8c1c307ff6cdfa5c10a4bf865384a7
SAMEA4946501	SAMEA4946501	ERR2815329	16S	PAIRED	WGS	26761564;33866091	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/009/ERR2815329/ERR2815329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/009/ERR2815329/ERR2815329_2.fastq.gz	1285cd49ccde1478194d3373af98a670;ad763587ebb79c43e62c42ed10bfa18a
SAMEA4946478	SAMEA4946478	ERR2815330	16S	PAIRED	WGS	30038368;37486844	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/000/ERR2815330/ERR2815330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/000/ERR2815330/ERR2815330_2.fastq.gz	98b4dc9b350d70e4cd235512cec9230b;a04efb2da4418968392b80919108c9ae
SAMEA4946479	SAMEA4946479	ERR2815331	16S	PAIRED	WGS	17285307;18931010	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/001/ERR2815331/ERR2815331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/001/ERR2815331/ERR2815331_2.fastq.gz	537a9390bf96514abccc4308f7c54139;9a851cdd28c3db6f1efca7e4ade72708
SAMEA4946480	SAMEA4946480	ERR2815332	16S	PAIRED	WGS	25194099;27111025	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/002/ERR2815332/ERR2815332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/002/ERR2815332/ERR2815332_2.fastq.gz	c71bd1e01dc7dba9b414beaf6cafea82;266951c32cf84550a794bd4bff28ce82
SAMEA4946481	SAMEA4946481	ERR2815333	16S	PAIRED	WGS	20206752;21530687	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/003/ERR2815333/ERR2815333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/003/ERR2815333/ERR2815333_2.fastq.gz	5a066f622b3b88b7888efe1262bcab8f;4c70856b0d4388838cfadf2873885dce
SAMEA4946482	SAMEA4946482	ERR2815334	16S	PAIRED	WGS	13609106;15197232	ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/004/ERR2815334/ERR2815334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR281/004/ERR2815334/ERR2815334_2.fastq.gz	b24397c5cd9397ca865d4af2084135fd;621b27ef6e8198245515dac7721d74df
